timestamp,btc_inter-entity-flows_miner-to-exchange_date,btc_inter-entity-flows_miner-to-exchange_flow_mean,btc_inter-entity-flows_miner-to-exchange_flow_total,btc_inter-entity-flows_miner-to-exchange_transactions_count_flow,btc_exchange-flows_inflow_date,btc_exchange-flows_inflow_inflow_mean,btc_exchange-flows_inflow_inflow_mean_ma7,btc_exchange-flows_inflow_inflow_top10,btc_exchange-flows_inflow_inflow_total,btc_exchange-flows_outflow_date,btc_exchange-flows_outflow_outflow_mean,btc_exchange-flows_outflow_outflow_mean_ma7,btc_exchange-flows_outflow_outflow_top10,btc_exchange-flows_outflow_outflow_total,btc_flow-indicator_exchange-whale-ratio_date,btc_flow-indicator_exchange-whale-ratio_exchange_whale_ratio,btc_flow-indicator_fund-flow-ratio_date,btc_flow-indicator_fund-flow-ratio_fund_flow_ratio,btc_flow-indicator_stablecoins-ratio_date,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio_usd,btc_market-indicator_mvrv_date,btc_market-indicator_mvrv_mvrv,btc_market-indicator_sopr-ratio_date,btc_market-indicator_sopr-ratio_sopr_ratio,coinglass_futures_openInterest_ohlc-history_c,coinglass_futures_openInterest_ohlc-history_h,coinglass_futures_openInterest_ohlc-history_l,coinglass_futures_openInterest_ohlc-history_o,coinglass_futures_openInterest_ohlc-history_t,coinglass_futures_fundingRate_ohlc-history_c,coinglass_futures_fundingRate_ohlc-history_h,coinglass_futures_fundingRate_ohlc-history_l,coinglass_futures_fundingRate_ohlc-history_o,coinglass_futures_fundingRate_ohlc-history_t,coinglass_futures_liquidation_v2_history_longLiquidationUsd,coinglass_futures_liquidation_v2_history_shortLiquidationUsd,coinglass_futures_liquidation_v2_history_t,coinglass_price_ohlc-history_c,coinglass_price_ohlc-history_h,coinglass_price_ohlc-history_l,coinglass_price_ohlc-history_o,coinglass_price_ohlc-history_t,coinglass_price_ohlc-history_v,data_source
1970-01-01 00:27:52.758000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670.8,16674.9,16610,16653.1,1672758000,483862203.3724,REAL
1970-01-01 00:27:52.761600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16617.3,16680.1,16606,16670.9,1672761600,246975392.1056,REAL
1970-01-01 00:27:52.765200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16626,16637,16600.3,16617.3,1672765200,154632825.9705,REAL
1970-01-01 00:27:52.768800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16637.7,16645.8,16621.2,16626.1,1672768800,90971698.4613,REAL
1970-01-01 00:27:52.772400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16637.7,16652,16615.1,16637.6,1672772400,91574306.283,REAL
1970-01-01 00:27:52.776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16656.1,16665.8,16636,16637.6,1672776000,110930494.2326,REAL
1970-01-01 00:27:52.779600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16658.8,16665.7,16652.4,16656,1672779600,64648543.8479,REAL
1970-01-01 00:27:52.783200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670.1,16673,16642.9,16658.8,1672783200,67764191.9832,REAL
1970-01-01 00:27:52.786800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16667.2,16688.2,16660.2,16670.2,1672786800,101226619.7766,REAL
1970-01-01 00:27:52.790400,2023-01-04,1.82089859,9.10449293,5,2023-01-04,1.02903997,0.51192877,14912.57756755,26545.1151917,2023-01-04,9.04640648,7.65909609,2787.54308678,10846.64137397,2023-01-04,0.56178236,2023-01-04,0.04285734,2023-01-04,2.537e-05,0.42761227,2023-01-04,0.85366879,2023-01-04,0.5579429631124736,101527.77,105336.93,101441.85,105095.11,1672790400,0.005448,0.01,0.003231,0.006478,1672790400,596147.39754,2571795.00107,1672790400,16655.6,16668.4,16645.7,16667.3,1672790400,71632931.5337,REAL
