start_time,date,fund_flow_ratio
1697932800000,2023-10-22,0.02564304
1698019200000,2023-10-23,0.03044055
1698105600000,2023-10-24,0.03040813
1698192000000,2023-10-25,0.02879067
1698278400000,2023-10-26,0.02686312
1698364800000,2023-10-27,0.03318049
1698451200000,2023-10-28,0.02577831
1698537600000,2023-10-29,0.0216279
1698624000000,2023-10-30,0.02576122
1698710400000,2023-10-31,0.02826954
1698796800000,2023-11-01,0.03537972
1698883200000,2023-11-02,0.03746127
1698969600000,2023-11-03,0.02881281
1699056000000,2023-11-04,0.02139753
1699142400000,2023-11-05,0.02423388
1699228800000,2023-11-06,0.02353797
1699315200000,2023-11-07,0.02381564
1699401600000,2023-11-08,0.01980102
1699488000000,2023-11-09,0.02882501
1699574400000,2023-11-10,0.06021026
1699660800000,2023-11-11,0.02460759
1699747200000,2023-11-12,0.027905
1699833600000,2023-11-13,0.02474216
1699920000000,2023-11-14,0.02440606
1700006400000,2023-11-15,0.03122978
1700092800000,2023-11-16,0.01766259
1700179200000,2023-11-17,0.02485362
1700265600000,2023-11-18,0.02021912
1700352000000,2023-11-19,0.02169395
1700438400000,2023-11-20,0.02509249
1700524800000,2023-11-21,0.02622297
1700611200000,2023-11-22,0.03009076
1700697600000,2023-11-23,0.03477011
1700784000000,2023-11-24,0.0284471
1700870400000,2023-11-25,0.0206247
1700956800000,2023-11-26,0.02159149
1701043200000,2023-11-27,0.02356725
1701129600000,2023-11-28,0.03394129
1701216000000,2023-11-29,0.02573961
1701302400000,2023-11-30,0.02257424
1701388800000,2023-12-01,0.0270331
1701475200000,2023-12-02,0.02606299
1701561600000,2023-12-03,0.01886958
1701648000000,2023-12-04,0.02906546
1701734400000,2023-12-05,0.02228799
1701820800000,2023-12-06,0.03039422
1701907200000,2023-12-07,0.03039282
1701993600000,2023-12-08,0.02445032
1702080000000,2023-12-09,0.02868214
1702166400000,2023-12-10,0.02193192
1702252800000,2023-12-11,0.02987937
1702339200000,2023-12-12,0.0245321
1702425600000,2023-12-13,0.03212439
1702512000000,2023-12-14,0.0178392
1702598400000,2023-12-15,0.02028535
1702684800000,2023-12-16,0.01229299
1702771200000,2023-12-17,0.02797021
1702857600000,2023-12-18,0.03541133
1702944000000,2023-12-19,0.02419136
1703030400000,2023-12-20,0.03047561
1703116800000,2023-12-21,0.02242725
1703203200000,2023-12-22,0.01896749
1703289600000,2023-12-23,0.01725129
1703376000000,2023-12-24,0.02101348
1703462400000,2023-12-25,0.05051379
1703548800000,2023-12-26,0.01770726
1703635200000,2023-12-27,0.0208687
1703721600000,2023-12-28,0.019297
1703808000000,2023-12-29,0.01772664
1703894400000,2023-12-30,0.04251232
1703980800000,2023-12-31,0.0324686
