start_time,date,exchange_whale_ratio
1692662400000,2023-08-22,0.19730419
1692748800000,2023-08-23,0.4631288
1692835200000,2023-08-24,0.21330942
1692921600000,2023-08-25,0.18383183
1693008000000,2023-08-26,0.21718901
1693094400000,2023-08-27,0.34877508
1693180800000,2023-08-28,0.16590048
1693267200000,2023-08-29,0.24210136
1693353600000,2023-08-30,0.15863318
1693440000000,2023-08-31,0.23053554
1693526400000,2023-09-01,0.26855261
1693612800000,2023-09-02,0.20068808
1693699200000,2023-09-03,0.22851711
1693785600000,2023-09-04,0.18725925
1693872000000,2023-09-05,0.18989454
1693958400000,2023-09-06,0.1804079
1694044800000,2023-09-07,0.19329498
1694131200000,2023-09-08,0.20666879
1694217600000,2023-09-09,0.28695556
1694304000000,2023-09-10,0.25823765
1694390400000,2023-09-11,0.17755382
1694476800000,2023-09-12,0.1617309
1694563200000,2023-09-13,0.16507658
1694649600000,2023-09-14,0.17710082
1694736000000,2023-09-15,0.1869462
1694822400000,2023-09-16,0.20662448
1694908800000,2023-09-17,0.23466402
1694995200000,2023-09-18,0.1514861
1695081600000,2023-09-19,0.24338263
1695168000000,2023-09-20,0.24184723
1695254400000,2023-09-21,0.22272064
1695340800000,2023-09-22,0.41515902
1695427200000,2023-09-23,0.19673927
1695513600000,2023-09-24,0.24269016
1695600000000,2023-09-25,0.17858202
1695686400000,2023-09-26,0.18365915
1695772800000,2023-09-27,0.16380849
1695859200000,2023-09-28,0.35007492
1695945600000,2023-09-29,0.18862991
1696032000000,2023-09-30,0.17742001
1696118400000,2023-10-01,0.29701245
1696204800000,2023-10-02,0.16726001
1696291200000,2023-10-03,0.15659622
1696377600000,2023-10-04,0.18760803
1696464000000,2023-10-05,0.13272564
1696550400000,2023-10-06,0.19708901
1696636800000,2023-10-07,0.16977483
1696723200000,2023-10-08,0.25285065
1696809600000,2023-10-09,0.18593094
1696896000000,2023-10-10,0.17834623
1696982400000,2023-10-11,0.28166018
1697068800000,2023-10-12,0.22739476
1697155200000,2023-10-13,0.15482016
1697241600000,2023-10-14,0.17623211
1697328000000,2023-10-15,0.26148225
1697414400000,2023-10-16,0.20287059
1697500800000,2023-10-17,0.12964147
1697587200000,2023-10-18,0.29966143
1697673600000,2023-10-19,0.19146487
1697760000000,2023-10-20,0.1423116
1697846400000,2023-10-21,0.16839401
1697932800000,2023-10-22,0.17857402
1698019200000,2023-10-23,0.1571582
1698105600000,2023-10-24,0.1814098
1698192000000,2023-10-25,0.18822458
1698278400000,2023-10-26,0.14404867
1698364800000,2023-10-27,0.25219557
1698451200000,2023-10-28,0.20004311
1698537600000,2023-10-29,0.17263331
1698624000000,2023-10-30,0.1851125
1698710400000,2023-10-31,0.12919673
1698796800000,2023-11-01,0.26795189
1698883200000,2023-11-02,0.32152357
1698969600000,2023-11-03,0.1700319
1699056000000,2023-11-04,0.21547349
1699142400000,2023-11-05,0.21437665
1699228800000,2023-11-06,0.19710407
1699315200000,2023-11-07,0.35076314
1699401600000,2023-11-08,0.42504332
1699488000000,2023-11-09,0.30207708
1699574400000,2023-11-10,0.18774472
1699660800000,2023-11-11,0.24654648
1699747200000,2023-11-12,0.25852896
1699833600000,2023-11-13,0.21736623
1699920000000,2023-11-14,0.24200037
1700006400000,2023-11-15,0.26192924
1700092800000,2023-11-16,0.23214394
1700179200000,2023-11-17,0.32606412
1700265600000,2023-11-18,0.41055601
1700352000000,2023-11-19,0.3580973
1700438400000,2023-11-20,0.18629938
1700524800000,2023-11-21,0.32593761
1700611200000,2023-11-22,0.31750622
1700697600000,2023-11-23,0.2094681
1700784000000,2023-11-24,0.22466909
1700870400000,2023-11-25,0.30823157
1700956800000,2023-11-26,0.3055111
1701043200000,2023-11-27,0.31120447
1701129600000,2023-11-28,0.22598327
1701216000000,2023-11-29,0.25627076
1701302400000,2023-11-30,0.25040207
1701388800000,2023-12-01,0.18504952
1701475200000,2023-12-02,0.26843683
1701561600000,2023-12-03,0.24677733
1701648000000,2023-12-04,0.21627895
1701734400000,2023-12-05,0.23821393
1701820800000,2023-12-06,0.16810286
1701907200000,2023-12-07,0.44624313
1701993600000,2023-12-08,0.29685539
1702080000000,2023-12-09,0.33514536
1702166400000,2023-12-10,0.33054945
1702252800000,2023-12-11,0.3131065
1702339200000,2023-12-12,0.31477964
1702425600000,2023-12-13,0.30197266
1702512000000,2023-12-14,0.29112839
1702598400000,2023-12-15,0.23494404
1702684800000,2023-12-16,0.54037793
1702771200000,2023-12-17,0.30114482
1702857600000,2023-12-18,0.24090391
1702944000000,2023-12-19,0.39985473
1703030400000,2023-12-20,0.2443821
1703116800000,2023-12-21,0.27003483
1703203200000,2023-12-22,0.25931581
1703289600000,2023-12-23,0.32671891
1703376000000,2023-12-24,0.43662917
1703462400000,2023-12-25,0.13430422
1703548800000,2023-12-26,0.35330015
1703635200000,2023-12-27,0.46107748
1703721600000,2023-12-28,0.33083452
1703808000000,2023-12-29,0.34570318
1703894400000,2023-12-30,0.14735164
1703980800000,2023-12-31,0.39570062
