start_time,date,mvrv
1684886400000,2023-05-24,1.30663085
1684972800000,2023-05-25,1.3130925
1685059200000,2023-05-26,1.32489587
1685145600000,2023-05-27,1.33279253
1685232000000,2023-05-28,1.39226843
1685318400000,2023-05-29,1.37511102
1685404800000,2023-05-30,1.37251079
1685491200000,2023-05-31,1.34867173
1685577600000,2023-06-01,1.3285394
1685664000000,2023-06-02,1.34987864
1685750400000,2023-06-03,1.34127016
1685836800000,2023-06-04,1.34377073
1685923200000,2023-06-05,1.27513969
1686009600000,2023-06-06,1.34999485
1686096000000,2023-06-07,1.32674608
1686182400000,2023-06-08,1.3138272
1686268800000,2023-06-09,1.31159599
1686355200000,2023-06-10,1.28179257
1686441600000,2023-06-11,1.28592938
1686528000000,2023-06-12,1.28945205
1686614400000,2023-06-13,1.28623923
1686700800000,2023-06-14,1.24681879
1686787200000,2023-06-15,1.26845376
1686873600000,2023-06-16,1.30561075
1686960000000,2023-06-17,1.31446883
1687046400000,2023-06-18,1.30560805
1687132800000,2023-06-19,1.33141008
1687219200000,2023-06-20,1.40406763
1687305600000,2023-06-21,1.48599245
1687392000000,2023-06-22,1.4852207
1687478400000,2023-06-23,1.5193914
1687564800000,2023-06-24,1.50863539
1687651200000,2023-06-25,1.53673442
1687737600000,2023-06-26,1.493612
1687824000000,2023-06-27,1.51668453
1687910400000,2023-06-28,1.50884765
1687996800000,2023-06-29,1.50203795
1688083200000,2023-06-30,1.50549291
1688169600000,2023-07-01,1.50658127
1688256000000,2023-07-02,1.54933647
1688342400000,2023-07-03,1.54780865
1688428800000,2023-07-04,1.50969985
1688515200000,2023-07-05,1.4960411
1688601600000,2023-07-06,1.46831584
1688688000000,2023-07-07,1.46341959
1688774400000,2023-07-08,1.48709992
1688860800000,2023-07-09,1.41636636
1688947200000,2023-07-10,1.49007091
1689033600000,2023-07-11,1.49386308
1689120000000,2023-07-12,1.43678091
1689206400000,2023-07-13,1.4864744
1689292800000,2023-07-14,1.48140899
1689379200000,2023-07-15,1.47585158
1689465600000,2023-07-16,1.4712216
1689552000000,2023-07-17,1.47561304
1689638400000,2023-07-18,1.4587627
1689724800000,2023-07-19,1.4647268
1689811200000,2023-07-20,1.44727132
1689897600000,2023-07-21,1.46180925
1689984000000,2023-07-22,1.45914738
1690070400000,2023-07-23,1.47587331
1690156800000,2023-07-24,1.42874388
1690243200000,2023-07-25,1.43125343
1690329600000,2023-07-26,1.43782131
1690416000000,2023-07-27,1.43267169
1690502400000,2023-07-28,1.44208688
1690588800000,2023-07-29,1.44450865
1690675200000,2023-07-30,1.43924737
1690761600000,2023-07-31,1.43700353
1690848000000,2023-08-01,1.46229534
1690934400000,2023-08-02,1.43528826
1691020800000,2023-08-03,1.4342705
1691107200000,2023-08-04,1.43144287
1691193600000,2023-08-05,1.43015775
1691280000000,2023-08-06,1.42768845
1691366400000,2023-08-07,1.43500423
